SERIES,PROVINSI,SEKTOR,NILAI_PDRB,NILAI_PBB,is_invalid
202002,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1300.62,5722286754657.0,False
202101,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1287.27,5680654182100.0,False
202102,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1250.76,2080827128971.0,False
202201,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1256.83,184538218123.0,False
202202,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1143.48,9232912065087.0,False
202301,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1060.55,25239712999.0,False
202302,Daerah Khusus Ibukota Jakarta,Tambang dan Gali,1033.6,12576865606578.0,False
201402,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",679.33,170543295777.0,False
201501,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",682.79,6565851052.0,False
201502,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",692.62,85603982864.0,False
201601,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",694.16,3205001114.0,False
201602,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",693.36,120084264442.0,False
201701,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",695.01,41735289422.0,False
201702,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",696.52,21553466948.0,False
201801,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",696.13,-873487696747.0,False
201802,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",697.92,-17606791023.0,False
201901,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",698.41,8849279782.0,False
201902,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",699.81,104962199807.0,False
202001,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",701.48,100794457531.0,False
202002,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",703.61,-42834342048.0,False
202101,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",722.17,-88059795257.0,False
202102,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",741.17,78031698290.0,False
202201,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",733.88,8165454214.0,False
202202,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",767.38,-39434096256.0,False
202301,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",692.23,-95081220943.0,False
202302,Daerah Khusus Ibukota Jakarta,"Tani, Hutan, dan Ikan",750.81,88631672273.0,False
201402,Jambi,Tambang dan Gali,15613.18,3020918583.0,False
201501,Jambi,Tambang dan Gali,15470.35,7502673526.0,False
201502,Jambi,Tambang dan Gali,15409.54,2038248639.0,False
201601,Jambi,Tambang dan Gali,15904.91,4542489747.0,False
201602,Jambi,Tambang dan Gali,15111.98,7669323736.0,False
201701,Jambi,Tambang dan Gali,16003.18,1418085333.0,False
201702,Jambi,Tambang dan Gali,16203.86,14377410578.0,False
201801,Jambi,Tambang dan Gali,16835.02,2777619692.0,False
201802,Jambi,Tambang dan Gali,17269.15,76866066331.0,False
201901,Jambi,Tambang dan Gali,17659.01,51411519239.0,False
201902,Jambi,Tambang dan Gali,18050.31,11945168963.0,False
202001,Jambi,Tambang dan Gali,17375.46,170746887164.0,False
202002,Jambi,Tambang dan Gali,17613.5,7063610226.0,False
202101,Jambi,Tambang dan Gali,16924.16,158442147205.0,False
202102,Jambi,Tambang dan Gali,18806.06,31079910792.0,False
202201,Jambi,Tambang dan Gali,18703.06,6486121828.0,False
202202,Jambi,Tambang dan Gali,19798.97,206720636456.0,False
202301,Jambi,Tambang dan Gali,19400.62,2424113603.0,False
202302,Jambi,Tambang dan Gali,19117.34,222598440153.0,False
201402,Jambi,"Tani, Hutan, dan Ikan",15525.68,47619311392.0,False
201501,Jambi,"Tani, Hutan, dan Ikan",16495.74,863989552.0,False
201502,Jambi,"Tani, Hutan, dan Ikan",16350.45,57338831000.0,False
201601,Jambi,"Tani, Hutan, dan Ikan",17011.68,4012466107.0,False
201602,Jambi,"Tani, Hutan, dan Ikan",17922.01,62925908184.0,False
201701,Jambi,"Tani, Hutan, dan Ikan",18092.33,14305218947.0,False
201702,Jambi,"Tani, Hutan, dan Ikan",18716.76,69249622938.0,False
201801,Jambi,"Tani, Hutan, dan Ikan",18689.21,8632190037.0,False
201802,Jambi,"Tani, Hutan, dan Ikan",19352.4,80262393359.0,False
201901,Jambi,"Tani, Hutan, dan Ikan",19469.34,8149125200.0,False
201902,Jambi,"Tani, Hutan, dan Ikan",19690.73,88045665962.0,False
202001,Jambi,"Tani, Hutan, dan Ikan",19658.84,31647667100.0,False
202002,Jambi,"Tani, Hutan, dan Ikan",20093.1,109316427741.0,False
202101,Jambi,"Tani, Hutan, dan Ikan",20509.2,13006941271.0,False
202102,Jambi,"Tani, Hutan, dan Ikan",20699.94,107418553494.0,False
202201,Jambi,"Tani, Hutan, dan Ikan",21095.49,2038730653.0,False
202202,Jambi,"Tani, Hutan, dan Ikan",22172.89,117583568710.0,False
202301,Jambi,"Tani, Hutan, dan Ikan",22425.02,2236844201.0,False
202302,Jambi,"Tani, Hutan, dan Ikan",23273.35,132294544948.0,False
201402,Jawa Barat,Tambang dan Gali,13496.2,22055012971.0,False
201501,Jawa Barat,Tambang dan Gali,13541.38,414375239.0,False
201502,Jawa Barat,Tambang dan Gali,13862.44,29841900632.0,False
201601,Jawa Barat,Tambang dan Gali,13039.84,3914515783.0,False
201602,Jawa Barat,Tambang dan Gali,14098.84,29505499532.0,False
201701,Jawa Barat,Tambang dan Gali,13139.35,430973539.0,False
201702,Jawa Barat,Tambang dan Gali,13450.58,30759923193.0,False
201801,Jawa Barat,Tambang dan Gali,12480.1,6269605954.0,False
201802,Jawa Barat,Tambang dan Gali,13011.13,39559431083.0,False
201901,Jawa Barat,Tambang dan Gali,12381.53,20405085406.0,False
201902,Jawa Barat,Tambang dan Gali,12409.89,34021882857.0,False
202001,Jawa Barat,Tambang dan Gali,11966.68,325986267713.0,False
202002,Jawa Barat,Tambang dan Gali,11804.57,38157907052.0,False
202101,Jawa Barat,Tambang dan Gali,11929.42,104596495345.0,False
202102,Jawa Barat,Tambang dan Gali,12036.78,283399141728.0,False
202201,Jawa Barat,Tambang dan Gali,12003.66,1738109332.0,False
202202,Jawa Barat,Tambang dan Gali,11876.65,380787373484.0,False
202301,Jawa Barat,Tambang dan Gali,11867.76,14197273096.0,False
202302,Jawa Barat,Tambang dan Gali,11974.32,426153301115.0,False
201402,Jawa Barat,"Tani, Hutan, dan Ikan",44545.38,48785837571.0,False
201501,Jawa Barat,"Tani, Hutan, dan Ikan",50581.62,17853008535.0,False
201502,Jawa Barat,"Tani, Hutan, dan Ikan",42221.17,56277818167.0,False
201601,Jawa Barat,"Tani, Hutan, dan Ikan",51454.9,20526390767.0,False
201602,Jawa Barat,"Tani, Hutan, dan Ikan",46641.68,42568777657.0,False
201701,Jawa Barat,"Tani, Hutan, dan Ikan",54397.97,25063618284.0,False
201702,Jawa Barat,"Tani, Hutan, dan Ikan",45271.41,224388381111.0,False
201801,Jawa Barat,"Tani, Hutan, dan Ikan",54213.04,46379101067.0,False
201802,Jawa Barat,"Tani, Hutan, dan Ikan",47539.17,79387872948.0,False
201901,Jawa Barat,"Tani, Hutan, dan Ikan",55847.48,23305859538.0,False
201902,Jawa Barat,"Tani, Hutan, dan Ikan",48749.27,52841054700.0,False
202001,Jawa Barat,"Tani, Hutan, dan Ikan",55467.43,17752585038.0,False
202002,Jawa Barat,"Tani, Hutan, dan Ikan",51533.36,139835082820.0,False
202101,Jawa Barat,"Tani, Hutan, dan Ikan",55879.34,26453632192.0,False
202102,Jawa Barat,"Tani, Hutan, dan Ikan",52527.22,113362365725.0,False
202201,Jawa Barat,"Tani, Hutan, dan Ikan",57344.77,33631005398.0,False
202202,Jawa Barat,"Tani, Hutan, dan Ikan",55841.62,136842047546.0,False
202301,Jawa Barat,"Tani, Hutan, dan Ikan",57971.67,57651250463.0,False
202302,Jawa Barat,"Tani, Hutan, dan Ikan",55336.74,91839943152.0,False
201402,Jawa Tengah,Tambang dan Gali,7996.93,1890844558.0,False
201501,Jawa Tengah,Tambang dan Gali,7737.04,463528090.0,False
201502,Jawa Tengah,Tambang dan Gali,8541.12,594258697.0,False
201601,Jawa Tengah,Tambang dan Gali,9271.95,62377107.0,False
201602,Jawa Tengah,Tambang dan Gali,10095.64,4930004730.0,False
201701,Jawa Tengah,Tambang dan Gali,9934.71,95507979.0,False
201702,Jawa Tengah,Tambang dan Gali,10421.78,1620906181.0,False
201801,Jawa Tengah,Tambang dan Gali,10310.65,49692166.0,False
201802,Jawa Tengah,Tambang dan Gali,10545.34,2439345713.0,False
201901,Jawa Tengah,Tambang dan Gali,10774.65,1575988226.0,False
201902,Jawa Tengah,Tambang dan Gali,10782.46,4884025017.0,False
202001,Jawa Tengah,Tambang dan Gali,10779.18,37877429004.0,False
202002,Jawa Tengah,Tambang dan Gali,10606.09,9729638633.0,False
202101,Jawa Tengah,Tambang dan Gali,10833.26,37149810104.0,False
202102,Jawa Tengah,Tambang dan Gali,11492.9,22471702400.0,False
202201,Jawa Tengah,Tambang dan Gali,10527.22,292485291.0,False
202202,Jawa Tengah,Tambang dan Gali,10415.44,64715462883.0,False
202301,Jawa Tengah,Tambang dan Gali,10389.27,1346501762.0,False
202302,Jawa Tengah,Tambang dan Gali,10842.82,70719283133.0,False
201402,Jawa Tengah,"Tani, Hutan, dan Ikan",52455.06,89882442842.0,False
201501,Jawa Tengah,"Tani, Hutan, dan Ikan",58555.15,303755331.0,False
201502,Jawa Tengah,"Tani, Hutan, dan Ikan",55271.16,102672140169.0,False
201601,Jawa Tengah,"Tani, Hutan, dan Ikan",58001.9,6899007552.0,False
201602,Jawa Tengah,"Tani, Hutan, dan Ikan",58329.22,42517591878.0,False
201701,Jawa Tengah,"Tani, Hutan, dan Ikan",59952.86,1829733318.0,False
201702,Jawa Tengah,"Tani, Hutan, dan Ikan",58497.31,74566546228.0,False
201801,Jawa Tengah,"Tani, Hutan, dan Ikan",61422.45,-6403220438.0,False
201802,Jawa Tengah,"Tani, Hutan, dan Ikan",60132.03,169321185925.0,False
201901,Jawa Tengah,"Tani, Hutan, dan Ikan",63208.2,4179326508.0,False
201902,Jawa Tengah,"Tani, Hutan, dan Ikan",59941.82,62132250169.0,False
202001,Jawa Tengah,"Tani, Hutan, dan Ikan",62025.83,6137196257.0,False
202002,Jawa Tengah,"Tani, Hutan, dan Ikan",64085.94,129207749364.0,False
202101,Jawa Tengah,"Tani, Hutan, dan Ikan",64310.02,3355892356.0,False
202102,Jawa Tengah,"Tani, Hutan, dan Ikan",62755.83,127242625673.0,False
202201,Jawa Tengah,"Tani, Hutan, dan Ikan",67345.79,4546084827.0,False
202202,Jawa Tengah,"Tani, Hutan, dan Ikan",63416.73,99612978423.0,False
202301,Jawa Tengah,"Tani, Hutan, dan Ikan",68756.53,10167034157.0,False
202302,Jawa Tengah,"Tani, Hutan, dan Ikan",62574.01,26020066845.0,False
201402,Jawa Timur,Tambang dan Gali,30830.14,10102914062.0,False
201501,Jawa Timur,Tambang dan Gali,31772.58,251699560.0,False
201502,Jawa Timur,Tambang dan Gali,33934.43,12158127137.0,False
201601,Jawa Timur,Tambang dan Gali,35014.18,424725459.0,False
201602,Jawa Timur,Tambang dan Gali,40010.72,14296520006.0,False
201701,Jawa Timur,Tambang dan Gali,38742.58,894437016.0,False
201702,Jawa Timur,Tambang dan Gali,41893.8,10712356054.0,False
201801,Jawa Timur,Tambang dan Gali,40331.1,187780110.0,False
201802,Jawa Timur,Tambang dan Gali,42242.46,32058618240.0,False
201901,Jawa Timur,Tambang dan Gali,41241.49,1538345330.0,False
201902,Jawa Timur,Tambang dan Gali,42605.52,52580279249.0,False
202001,Jawa Timur,Tambang dan Gali,40418.75,92991228381.0,False
202002,Jawa Timur,Tambang dan Gali,40479.21,64443631307.0,False
202101,Jawa Timur,Tambang dan Gali,39441.15,90660321349.0,False
